Epoch;PPL
1;9988,75631
2;9955,760572
3;9922,84602
4;9890,017235
5;9857,293369
6;9824,625301
7;9792,021484
8;9759,456675
9;9726,971017
10;9694,515349
11;9662,094917
12;9629,685379
13;9597,298537
14;9564,922555
15;9532,535309
16;9500,144511
17;9467,733341
18;9435,310876
19;9402,843943
20;9370,345468
21;9337,813701
22;9305,226662
23;9272,551244
24;9239,831993
25;9207,00351
26;9174,098072
27;9141,100981
28;9108,004346
29;9074,804191
30;9041,479823
31;9008,032876
32;8974,427768
33;8940,676625
34;8906,778457
35;8872,742426
36;8838,527569
37;8804,122915
38;8769,524169
39;8734,734677
40;8699,742465
41;8664,515858
42;8629,067706
43;8593,392123
44;8557,460487
45;8521,273822
46;8484,804505
47;8448,054201
48;8411,014735
49;8373,669358
50;8336,009487
51;8298,006213
52;8259,662808
53;8220,9645
54;8181,911251
55;8142,462408
56;8102,579182
57;8062,309877
58;8021,594765
59;7980,448504
60;7938,844059
61;7896,751922
62;7854,161467
63;7811,067903
64;7767,452743
65;7723,266954
66;7678,492925
67;7633,130696
68;7587,159576
69;7540,536602
70;7493,262881
71;7445,289102
72;7396,624848
73;7347,207086
74;7296,954993
75;7245,928858
76;7194,066939
77;7141,342711
78;7087,714853
79;7033,175931
80;6977,623338
81;6921,058905
82;6863,424176
83;6804,648931
84;6744,779228
85;6683,695661
86;6621,305482
87;6557,604635
88;6492,53531
89;6426,017485
90;6358,009973
91;6288,480501
92;6217,281939
93;6144,367527
94;6069,655357
95;5993,081924
96;5914,5755
97;5833,985128
98;5751,280375
99;5666,385974
