Epoch;PPL
1;595,6228076
2;480,0853825
3;427,1998355
4;393,6389446
5;369,1155789
6;351,1533486
7;334,6097956
8;321,6257076
9;311,2328208
10;300,5433666
11;293,1821513
12;284,8168197
13;278,0921163
14;272,0715375
15;266,4851378
16;262,1354159
17;258,9311521
18;253,3048832
19;249,7934963
20;244,7357489
21;242,1668121
22;238,6593205
23;235,7316916
24;232,3154389
25;229,9825105
26;227,8737161
27;225,2782008
28;224,7981002
29;222,3649953
30;220,0389567
31;219,1579301
32;218,6271522
33;213,5222424
34;212,1815265
35;211,9440614
36;209,4654661
37;208,6510666
38;206,4127054
39;205,524659
40;205,1687705
41;204,4848714
42;202,2903244
43;202,6045701
44;199,6074249
45;198,7650058
46;198,46421
47;199,2898027
48;196,2877578
49;195,5486651
50;194,8498717
51;194,8520154
52;192,9267421
53;192,1616136
54;190,980512
55;190,3554372
56;190,9514363
57;190,6123284
58;188,9007671
59;190,7587486
60;193,6766783
61;186,9389706
62;186,6506179
63;185,6695313
64;187,1398983
65;186,2351879
66;183,9801411
67;183,4398362
68;182,8932849
69;183,7727528
70;182,3207459
71;182,8963881
72;181,3933168
73;181,0240833
74;181,1713396
75;180,1870278
76;185,5497029
77;180,3296827
78;179,7336964
79;200,7675515
80;178,3335899
81;179,0520368
82;178,1067219
83;177,5810037
84;176,9832841
85;176,8057451
86;176,4054903
87;176,5606465
88;177,1692638
89;175,6516062
90;175,1471196
91;174,6480762
92;174,9158929
93;174,5454525
94;174,4924353
95;175,1583024
96;174,3369368
97;173,5532046
98;174,0946012
99;174,3006144
