Epoch;PPL
1;275,0726804
2;226,1674232
3;208,7666002
4;194,9856988
5;191,5781413
6;183,1615958
7;201,9143248
8;179,340108
9;173,3046178
10;175,7053204
11;177,9037489
12;175,6295741
