Epoch,PPL,Test PPL
1,323.05492026285054,95.95266849563355
2,213.34247262138103,95.95266849563355
3,179.24714830903392,95.95266849563355
4,160.19937062902247,95.95266849563355
5,145.029419065934,95.95266849563355
6,136.2243338555742,95.95266849563355
7,127.58388280858095,95.95266849563355
8,121.52072106166543,95.95266849563355
9,116.74244872801457,95.95266849563355
10,112.62636409326592,95.95266849563355
11,110.61789280918042,95.95266849563355
12,108.19862101256705,95.95266849563355
13,106.41230594552147,95.95266849563355
14,105.46756848109567,95.95266849563355
15,103.78368375439742,95.95266849563355
16,102.61457916846966,95.95266849563355
17,102.12313210082077,95.95266849563355
18,101.38896621315578,95.95266849563355
19,100.82127102898421,95.95266849563355
20,100.56092935474398,95.95266849563355
21,99.36930789699414,95.95266849563355
22,99.97315271808468,95.95266849563355
23,99.26353800871314,95.95266849563355
24,99.60170816718657,95.95266849563355
25,99.69651563417311,95.95266849563355
26,99.27182220979971,95.95266849563355
27,103.63806748083464,95.95266849563355
28,115.51680637104892,95.95266849563355
29,121.87130443125126,95.95266849563355
