Epoch,PPL,Test PPL
1,306.6725108750284,115.22120987437658
2,225.3860050506308,115.22120987437658
3,180.85797407101862,115.22120987437658
4,160.00449346411997,115.22120987437658
5,145.27834864739657,115.22120987437658
6,137.05811981704343,115.22120987437658
7,129.22435883990644,115.22120987437658
8,124.8097500729172,115.22120987437658
9,121.8952095213956,115.22120987437658
10,120.76644589226444,115.22120987437658
11,119.30731378402794,115.22120987437658
12,118.30941038030787,115.22120987437658
13,119.31398534122451,115.22120987437658
14,119.43508498246715,115.22120987437658
15,120.47183644181159,115.22120987437658
