Epoch,PPL,Test PPL
1,390.8248040100266,117.89060569263046
2,263.70678724125406,117.89060569263046
3,215.84292848517558,117.89060569263046
4,192.98309650379056,117.89060569263046
5,171.04698979116463,117.89060569263046
6,159.55356897211445,117.89060569263046
7,152.45704216378124,117.89060569263046
8,141.56048736658784,117.89060569263046
9,137.5077183010451,117.89060569263046
10,132.62595769651344,117.89060569263046
11,128.96855161432174,117.89060569263046
12,126.49395445494143,117.89060569263046
13,124.49663586122188,117.89060569263046
14,123.60145349957592,117.89060569263046
15,121.83705588414946,117.89060569263046
16,120.97061788182678,117.89060569263046
17,120.99376256098908,117.89060569263046
18,121.2639298163593,117.89060569263046
19,121.93394835780101,117.89060569263046
