Epoch,PPL,Test PPL
1,553.1369223313521,123.11571374176307
2,418.91648270815944,123.11571374176307
3,336.0632001470109,123.11571374176307
4,293.7326411045798,123.11571374176307
5,253.6465949081643,123.11571374176307
6,231.49898106991805,123.11571374176307
7,211.69988800633936,123.11571374176307
8,196.63517979706987,123.11571374176307
9,184.12250383189297,123.11571374176307
10,175.17463574174897,123.11571374176307
11,168.6016198594481,123.11571374176307
12,163.15042401355575,123.11571374176307
13,158.3995457290041,123.11571374176307
14,153.26036627519323,123.11571374176307
15,150.17618807565947,123.11571374176307
16,145.6102415903873,123.11571374176307
17,141.51486521381602,123.11571374176307
18,140.58870115930696,123.11571374176307
19,137.26622307045852,123.11571374176307
20,135.89882153983572,123.11571374176307
21,132.80595528311434,123.11571374176307
22,130.96759007279582,123.11571374176307
23,129.84121542760565,123.11571374176307
24,128.33045740498363,123.11571374176307
25,127.9644652190437,123.11571374176307
26,130.06415345420783,123.11571374176307
27,126.93423138128838,123.11571374176307
28,126.7108964692686,123.11571374176307
29,126.3780105150306,123.11571374176307
30,126.42082501498207,123.11571374176307
31,125.69822998208595,123.11571374176307
32,126.94862865381243,123.11571374176307
33,126.70437821051672,123.11571374176307
34,127.03039649358217,123.11571374176307
