Epoch,PPL,Test PPL
1,711.8700540642149,123.57010821438868
2,507.08416852454104,123.57010821438868
3,439.8282117743124,123.57010821438868
4,376.919317604396,123.57010821438868
5,329.0974888676927,123.57010821438868
6,290.1802204591265,123.57010821438868
7,270.8336513389433,123.57010821438868
8,251.5140073948033,123.57010821438868
9,234.89353725443738,123.57010821438868
10,224.10620402538467,123.57010821438868
11,216.16465946383278,123.57010821438868
12,205.65855715469087,123.57010821438868
13,199.90407638280337,123.57010821438868
14,191.67592300317608,123.57010821438868
15,187.0915237621305,123.57010821438868
16,180.2200374492134,123.57010821438868
17,175.9194460757454,123.57010821438868
18,172.8325062373293,123.57010821438868
19,171.4288211245944,123.57010821438868
20,166.89232830740622,123.57010821438868
21,161.54724159678392,123.57010821438868
22,158.14398226493057,123.57010821438868
23,159.54417702041104,123.57010821438868
24,153.57493260714986,123.57010821438868
25,150.517846632988,123.57010821438868
26,149.65152289533714,123.57010821438868
27,146.78399682403648,123.57010821438868
28,144.19499821793804,123.57010821438868
29,142.5641798341308,123.57010821438868
30,141.0820557818462,123.57010821438868
31,141.04084073666255,123.57010821438868
32,137.72781651557878,123.57010821438868
33,137.11654648845862,123.57010821438868
34,135.65405922967653,123.57010821438868
35,134.80817146813646,123.57010821438868
36,133.1213029118656,123.57010821438868
37,132.81266674552558,123.57010821438868
38,132.370132991729,123.57010821438868
39,132.18091935170918,123.57010821438868
40,130.451111045236,123.57010821438868
41,131.467524061277,123.57010821438868
42,130.4161498895661,123.57010821438868
43,129.23329629031045,123.57010821438868
44,127.7885793571378,123.57010821438868
45,129.05951867872264,123.57010821438868
46,127.71495217966603,123.57010821438868
47,127.60390892619606,123.57010821438868
48,128.23512454515065,123.57010821438868
49,126.97493893400555,123.57010821438868
50,126.9078872799835,123.57010821438868
51,127.00367827197613,123.57010821438868
52,127.36573152590115,123.57010821438868
53,129.10499156566507,123.57010821438868
