Epoch,PPL,Test PPL
1,235.44802032696643,124.55345026160616
2,188.92919367860813,124.55345026160616
3,170.45142440396035,124.55345026160616
4,158.52492062445847,124.55345026160616
5,152.00239421078444,124.55345026160616
6,146.5990678180965,124.55345026160616
7,142.5168017074875,124.55345026160616
8,140.20071733812088,124.55345026160616
9,137.33858081986673,124.55345026160616
10,136.24505558607646,124.55345026160616
11,134.86400603855373,124.55345026160616
12,135.12134833695256,124.55345026160616
13,133.08904382601628,124.55345026160616
14,132.4296344823319,124.55345026160616
15,132.57992890813193,124.55345026160616
16,131.74404554213908,124.55345026160616
17,131.7411778119357,124.55345026160616
18,131.37776641459013,124.55345026160616
19,130.74324226146626,124.55345026160616
20,131.12201812844106,124.55345026160616
21,130.68194117592418,124.55345026160616
22,131.54976056554324,124.55345026160616
23,130.61004446175582,124.55345026160616
24,130.84476184028006,124.55345026160616
25,131.04724485048934,124.55345026160616
26,131.55467556649796,124.55345026160616
