Epoch,PPL,Test PPL
1,201.7580445914774,131.28142587859853
2,170.5385495805257,131.28142587859853
3,156.4245374500092,131.28142587859853
4,150.70875504933667,131.28142587859853
5,145.970128726908,131.28142587859853
6,142.7504028613991,131.28142587859853
7,141.83322666638344,131.28142587859853
8,139.9740072618647,131.28142587859853
9,139.4725870665953,131.28142587859853
10,138.4668864201097,131.28142587859853
11,138.02947834921852,131.28142587859853
12,137.55181818100627,131.28142587859853
13,138.52302848500025,131.28142587859853
14,137.46986992104118,131.28142587859853
15,138.35630018817352,131.28142587859853
16,138.41314056486203,131.28142587859853
17,139.71179278256596,131.28142587859853
