Batch Size,Learning Rate,Test PPL
128,0.01,211.341730275466
32,0.01,146.36412011823688
64,0.01,174.40307585418986
128,0.1,126.06437887700028
32,0.1,122.14632670611589
64,0.1,123.45803917586528
128,0.5,122.52654830591084
32,0.5,130.47909746168463
64,0.5,124.55345026160616
128,1.0,126.14758431204672
32,1.0,138.15059807544446
64,1.0,130.38927941242997
128,1.2,126.83472035945192
32,1.2,139.36468266704114
64,1.2,131.28142587859853
