Epoch,PPL,Test PPL
1,195.17882461870542,139.36468266704114
2,171.55781043309128,139.36468266704114
3,162.3470340668922,139.36468266704114
4,156.61199512190956,139.36468266704114
5,153.06563262915014,139.36468266704114
6,149.914069485682,139.36468266704114
7,149.98742128450192,139.36468266704114
8,149.07316161204267,139.36468266704114
9,149.90791170396272,139.36468266704114
10,149.49346241433145,139.36468266704114
11,148.2550120318427,139.36468266704114
12,148.9502796084964,139.36468266704114
13,149.8643813281931,139.36468266704114
14,150.81095546892215,139.36468266704114
