Epoch,PPL,Test PPL
1,269.47548016439293,141.2839014403321
2,223.34530850598125,141.2839014403321
3,184.66057056107667,141.2839014403321
4,177.0919072939875,141.2839014403321
5,163.3826572879767,141.2839014403321
6,159.66514925631145,141.2839014403321
7,156.06108993166458,141.2839014403321
8,150.99365866651385,141.2839014403321
9,149.92848196102875,141.2839014403321
10,147.49661974544705,141.2839014403321
11,147.6189138272285,141.2839014403321
12,146.60657599126768,141.2839014403321
13,145.7766272560096,141.2839014403321
14,148.5247538296975,141.2839014403321
15,146.91629962376257,141.2839014403321
16,150.33864491091364,141.2839014403321
