Epoch,PPL,Test PPL
1,336.01612247464595,142.90548590737268
2,267.83951500358876,142.90548590737268
3,214.89076884833094,142.90548590737268
4,193.22145318266246,142.90548590737268
5,180.07012932540204,142.90548590737268
6,174.49381400610505,142.90548590737268
7,165.73585484809007,142.90548590737268
8,161.06044824096608,142.90548590737268
9,158.16685554185045,142.90548590737268
10,155.32969336810112,142.90548590737268
11,154.37740518481726,142.90548590737268
12,152.8125165892928,142.90548590737268
13,150.92213104908464,142.90548590737268
14,149.8921281814633,142.90548590737268
15,150.4795680912918,142.90548590737268
16,149.10610258430893,142.90548590737268
17,150.49466078009118,142.90548590737268
18,149.41954164765284,142.90548590737268
19,149.6090248633587,142.90548590737268
