Epoch,PPL,Test PPL
1,533.859641294331,110.35232252213494
2,406.2104820296872,110.35232252213494
3,323.44390823818475,110.35232252213494
4,273.23054180497166,110.35232252213494
5,250.42158791848559,110.35232252213494
6,227.06421307321216,110.35232252213494
7,213.32240741441984,110.35232252213494
8,210.71456475750261,110.35232252213494
9,189.97811725731438,110.35232252213494
10,188.30049651496836,110.35232252213494
11,173.3255658239733,110.35232252213494
12,167.41421805870894,110.35232252213494
13,162.01274219764954,110.35232252213494
14,158.8064236441057,110.35232252213494
15,150.6822702033414,110.35232252213494
16,148.89282044201676,110.35232252213494
17,143.36236040764288,110.35232252213494
18,141.96793398661984,110.35232252213494
19,139.18582605537696,110.35232252213494
20,134.0756858167657,110.35232252213494
21,132.87966268455904,110.35232252213494
22,130.8450813312717,110.35232252213494
23,130.04863875040687,110.35232252213494
24,127.21688521672772,110.35232252213494
25,126.5548878781442,110.35232252213494
26,123.53945085880649,110.35232252213494
27,121.81524639258971,110.35232252213494
28,121.09521378352214,110.35232252213494
29,121.04173943950764,110.35232252213494
30,118.23627271562955,110.35232252213494
31,118.93985388983818,110.35232252213494
32,119.07346761115241,110.35232252213494
33,116.6185664652326,110.35232252213494
34,114.44071282920076,110.35232252213494
35,112.5167444692574,110.35232252213494
36,115.16568679993112,110.35232252213494
37,112.62692230949155,110.35232252213494
38,113.08448689332127,110.35232252213494
