Epoch,PPL,Test PPL
1,384.17052311542164,100.54447083088486
2,289.9533804237267,100.54447083088486
3,234.9108568827713,100.54447083088486
4,196.40432704465672,100.54447083088486
5,171.3670122239627,100.54447083088486
6,159.45903276960468,100.54447083088486
7,150.36122263191555,100.54447083088486
8,141.05562373236953,100.54447083088486
9,134.52791923622766,100.54447083088486
10,128.49034382656632,100.54447083088486
11,124.02229868844286,100.54447083088486
12,120.42318995365198,100.54447083088486
13,117.6582012807479,100.54447083088486
14,115.91751913552329,100.54447083088486
15,113.95266336092774,100.54447083088486
16,110.84118456386167,100.54447083088486
17,109.99489768017645,100.54447083088486
18,108.76118288651288,100.54447083088486
19,107.83972714769148,100.54447083088486
20,106.28655195543702,100.54447083088486
21,105.33791195898098,100.54447083088486
22,106.98962658031117,100.54447083088486
23,102.91577498402827,100.54447083088486
24,104.15677651003286,100.54447083088486
25,104.05720526941914,100.54447083088486
26,103.97516553097606,100.54447083088486
