Epoch,PPL,Test PPL
1,553.7224396471427,101.54915936110201
2,395.5771606399619,101.54915936110201
3,318.6447896057289,101.54915936110201
4,264.638798949317,101.54915936110201
5,236.9947082356828,101.54915936110201
6,217.01514035973716,101.54915936110201
7,200.20286027835274,101.54915936110201
8,188.9461924552164,101.54915936110201
9,179.6030455625729,101.54915936110201
10,172.80706136722648,101.54915936110201
11,164.46020418441782,101.54915936110201
12,159.02393187214489,101.54915936110201
13,150.82992484383817,101.54915936110201
14,146.97179147152974,101.54915936110201
15,143.2278341912692,101.54915936110201
16,140.01287287764214,101.54915936110201
17,136.65928252474816,101.54915936110201
18,134.77885156210561,101.54915936110201
19,132.31751171808264,101.54915936110201
20,128.00261115044825,101.54915936110201
21,125.58561492142952,101.54915936110201
22,123.64364984551014,101.54915936110201
23,123.44899157059758,101.54915936110201
24,120.47751257426542,101.54915936110201
25,119.69084706991919,101.54915936110201
26,118.28992063283074,101.54915936110201
27,116.79049666212006,101.54915936110201
28,116.04883647999729,101.54915936110201
29,114.32663442361554,101.54915936110201
30,112.76187221807916,101.54915936110201
31,112.0786725727147,101.54915936110201
32,112.5464435190287,101.54915936110201
33,110.84662300651242,101.54915936110201
34,110.45874377247632,101.54915936110201
35,109.50632577997376,101.54915936110201
36,108.69681227642043,101.54915936110201
37,107.55152018545088,101.54915936110201
38,106.94601172749522,101.54915936110201
39,106.87429467099464,101.54915936110201
40,106.44567234975369,101.54915936110201
41,105.83085814370683,101.54915936110201
42,105.78111875992668,101.54915936110201
43,104.80808565251678,101.54915936110201
44,105.34988455715059,101.54915936110201
45,104.26193736963482,101.54915936110201
46,103.86353775089476,101.54915936110201
47,104.65511849873164,101.54915936110201
48,104.21990945159837,101.54915936110201
49,104.03712462348835,101.54915936110201
