Epoch,PPL,Test PPL
1,605.7594784665291,102.10852158761224
2,371.3469570348324,102.10852158761224
3,295.92606139956365,102.10852158761224
4,251.36730679849413,102.10852158761224
5,230.16845418071824,102.10852158761224
6,213.1122054846418,102.10852158761224
7,202.92502029413583,102.10852158761224
8,184.04081687115206,102.10852158761224
9,170.99495403971804,102.10852158761224
10,167.07589776901685,102.10852158761224
11,158.30488506534329,102.10852158761224
12,151.82306269826327,102.10852158761224
13,146.74811029149726,102.10852158761224
14,142.90782737101867,102.10852158761224
15,139.99109351896809,102.10852158761224
16,136.7005362171471,102.10852158761224
17,133.62357483744407,102.10852158761224
18,128.8126481455842,102.10852158761224
19,127.41187502978929,102.10852158761224
20,124.89265915954269,102.10852158761224
21,124.39654723555402,102.10852158761224
22,121.86302320666552,102.10852158761224
23,119.56650302272064,102.10852158761224
24,118.47681539702205,102.10852158761224
25,115.92620852774299,102.10852158761224
26,115.79431425465798,102.10852158761224
27,114.10305235866981,102.10852158761224
28,113.92752613191642,102.10852158761224
29,112.97145871040382,102.10852158761224
30,111.72470611410208,102.10852158761224
31,110.80190468134917,102.10852158761224
32,110.65310868694495,102.10852158761224
33,109.74853555643811,102.10852158761224
34,108.97497198650947,102.10852158761224
35,108.188620368869,102.10852158761224
36,108.16667247843444,102.10852158761224
37,107.33089714292397,102.10852158761224
38,106.49391431743888,102.10852158761224
39,107.07897383475506,102.10852158761224
40,105.96798425369757,102.10852158761224
41,105.56083218933802,102.10852158761224
42,106.0556742237872,102.10852158761224
43,105.71304200774624,102.10852158761224
44,104.6083466255784,102.10852158761224
45,105.54569904380216,102.10852158761224
46,106.07536008787417,102.10852158761224
47,104.95840627566389,102.10852158761224
